experiment_id,stage,protocol_version,experiment_family,research_question,hypothesis,datasets,kirs,seeds,representations,k_values,distances,status,planned_units,completed_units,failed_units,start_time,end_time,provenance_sha256,config_sha256,summary_path,main_result,decision,repeat_policy,supersedes,notes
s2c_mogb_intent_structure_bridge_v1,ANALYSIS_S2C_MOGB_INTENT_STRUCTURE_BRIDGE_V1,protocol_v2_textoir_v1,intent_level_ball_structure_and_error_tradeoff_attribution,"Is the S2C-MOGB-Fair gap concentrated in a few missing or over-fragmented intents, and does MOGB selected-ball count predict Known recovery or OOS cost?","Joining frozen per-intent errors to selected-ball structure should distinguish broad Known-coverage recovery from a small set of structural defects without using test labels for selection.",clinc150|banking77|stackoverflow,0.25|0.50|0.75,13|42|87|100|123,trainable_minilm_last2_projection|frozen_minilm,1|adaptive,mahalanobis_diag|euclidean,complete,1850,1850,0,2026-08-09,2026-08-09,2b139c5b23fea877e5c01cf1ba73ed8e65b6c9f3088c72fdc77d968b45ccc0f9,analysis_only,docs/archive/analysis/S2C_MOGB_INTENT_STRUCTURE_BRIDGE_V1.md,"All nine dataset-KIR groups had a 100 percent positive Known-recovery intent ratio; mean per-intent Known rejection fell by 46.70pp, missing selected-ball rows were only 1.41 percent, and ball-count/recovery Spearman rho ranged from -0.382 to +0.445.","Treat the S2C advantage as broad Known-coverage/ranking recovery rather than a few missing-ball intents or a universal adaptive-ball-count effect; all test-defined intent associations remain post-hoc only.",do_not_repeat,s2c_mogb_operating_curve_attribution_v1,"1850 intent-seed rows, 45 cell rows, 663 intent summaries, 90 structure-correlation rows and 6 figures; no training, split mutation, ball selection, threshold tuning or sample-level public export."
trainable_vs_adb_cross_dataset_error_budget_v1,ANALYSIS_TRAINABLE_VS_ADB_CROSS_DATASET_ERROR_BUDGET_V1,protocol_v2_textoir_v1,external_baseline_sample_aligned_error_budget_cross_dataset,"Do Trainable-K1 and ADB differ because of Known rejection, OOS false acceptance, or Known misclassification across all dataset/KIR/seed workpoints?","Exact protocol-view, text, label, sample-id and manifest-hash alignment should separate data-set-specific error-budget shifts without tuning on test OOS.",clinc150|banking77|stackoverflow,0.25|0.50|0.75,13|42|87|100|123,trainable_minilm_last2_projection|adb_bert_textoir,1,euclidean|mahalanobis_diag,complete,45,45,0,2026-08-10,2026-08-10,1f24c722689857a23b2148869ef2eefbcf4bd9f8deeae110b3fc917c2d8d8796,analysis_only,docs/archive/analysis/TRAINABLE_VS_ADB_CROSS_DATASET_ERROR_BUDGET_V1.md,"45/45 paired units and 221700 protocol test rows passed alignment. Trainable adds Known rejection but reduces OOS false acceptance on CLINC150 and Banking77; on StackOverflow it reduces Known rejection but slightly increases OOS false acceptance at KIR=.50/.75.","Use as data-set-specific mechanism evidence and contract-aware comparison; do not claim same-backbone SOTA or tune any test-time rule.",do_not_repeat,trainable_vs_adb_error_budget_v1,"Aggregate-only outputs under results/analysis/archive/analysis/trainable_vs_adb_cross_dataset_error_budget_v1/ and figures/archive/analysis/trainable_vs_adb_cross_dataset_error_budget_v1/; no raw text or sample-level public export. Script SHA256=e6af5b1882bea514474fb36bb00add6f91c820f5aa44d4589670d5c9b02b6e90."
trainable_vs_adb_mechanism_summary_v1,ANALYSIS_TRAINABLE_VS_ADB_MECHANISM_SUMMARY_V1,protocol_v2_textoir_v1,external_baseline_metric_error_budget_join,"Does the Trainable-vs-ADB metric gap correspond to conservative rejection, Known coverage recovery, or a coverage/false-accept trade-off in each dataset and KIR?","Joining frozen paired metric deltas with the independently audited state deltas should yield an interpretable mechanism label without adding a new model or using test OOS for selection.",clinc150|banking77|stackoverflow,0.25|0.50|0.75,13|42|87|100|123,trainable_minilm_last2_projection|adb_bert_textoir,1,mixed,complete,9,9,0,2026-08-10,2026-08-10,3fb2b01579b5f16be9f3603e687c42e0d0b5b3a25908a3623cc448ad3d131e0d,analysis_only,docs/archive/analysis/TRAINABLE_VS_ADB_MECHANISM_SUMMARY_V1.md,"Nine dataset-KIR rows join metric and error-budget deltas. CLINC150/Banking77 are conservative-rejection patterns; StackOverflow recovers Known coverage and has a mild OOS false-accept trade-off at KIR=.50/.75.","Use as a mechanism visualization and contract-aware interpretation; do not claim an unconditional cross-backbone SOTA ranking.",do_not_repeat,trainable_vs_adb_cross_dataset_error_budget_v1,"Two figures and three aggregate CSV/JSON outputs; no training, threshold selection, raw text export or sample-level public output. Script SHA256=202a9a842b64e6430fb16cc4560ae17c27982fefc0e51854e251ab42c0576240."
trainable_vs_adb_oos_decomposition_v1,ANALYSIS_TRAINABLE_VS_ADB_OOS_DECOMPOSITION_V1,protocol_v2_textoir_v1,external_baseline_oos_precision_recall_decomposition,"Does the Trainable-vs-ADB OOS F1 difference come from OOS precision, OOS recall, or a Known acceptance cost?","Recomputing OOS precision/recall/F1 from the aligned state counts should expose the metric component without rerunning either model or selecting test-time parameters.",clinc150|banking77|stackoverflow,0.25|0.50|0.75,13|42|87|100|123,trainable_minilm_last2_projection|adb_bert_textoir,1,mixed,complete,45,45,0,2026-08-10,2026-08-10,f02c2e968f60bedeb74023094945e68c04c8870cc81dc4e6186e97d8c9a416ac,analysis_only,docs/archive/analysis/TRAINABLE_VS_ADB_OOS_DECOMPOSITION_V1.md,"45 paired rows recomputed from aligned states. CLINC150/Banking77 gain OOS recall while losing precision; StackOverflow gains precision and has KIR-dependent recall changes.","Use as a metric decomposition and visualization only; preserve BERT/TextOIR versus MiniLM contract separation and do not claim SOTA.",do_not_repeat,trainable_vs_adb_cross_dataset_error_budget_v1,"90 per-seed method rows, 45 paired rows, two figures; no training, threshold selection, raw text export or sample-level public output. Script SHA256=d01d5e920638f40a2a41e5286c686b7b4346b772b73f02fcd40485875a3f4f66."
trainable_vs_adb_intent_error_v1,ANALYSIS_TRAINABLE_VS_ADB_INTENT_ERROR_V1,protocol_v2_textoir_v1,external_baseline_intent_level_error_attribution,"Are Trainable-vs-ADB coverage and OOS false-accept differences concentrated in particular intents?","Grouping Known errors by gold intent and OOS false accepts by predicted Known intent should explain whether the aggregate work-point shift is broad or driven by a few categories.",clinc150|banking77|stackoverflow,0.25|0.50|0.75,13|42|87|100|123,trainable_minilm_last2_projection|adb_bert_textoir,1,mixed,complete,45,45,0,2026-08-10,2026-08-10,beffb22bc4ecbcbbb50f4c5f0720d7baa29f081cc7a9a2353141592544524f9b,analysis_only,docs/archive/analysis/TRAINABLE_VS_ADB_INTENT_ERROR_V1.md,"1,850 per-seed intent rows and 663 intent×dataset×KIR means; differences are distributed across intents, with StackOverflow spring/osx/sharepoint among the largest OOS-acceptor increases.","Use only for post-hoc mechanism visualization; preserve BERT/TextOIR versus MiniLM contract separation and do not use intent-level test results for selection or SOTA claims.",do_not_repeat,trainable_vs_adb_cross_dataset_error_budget_v1,"Three figures and two CSVs plus alignment JSON; no training, threshold selection, text export or public sample-level predictions. Script SHA256=49670ab893863ff052642a77ae1fb479091282d37df8a03de09983f672a19b20."
s2c_mogb_operating_curve_attribution_v1,ANALYSIS_S2C_MOGB_OPERATING_CURVE_ATTRIBUTION_V1,protocol_v2_textoir_v1,threshold_free_ranking_and_operating_point_attribution,"Is the S2C-Trainable-K1 advantage over MOGB-MiniLM-Fair only a default threshold/radius work-point effect, or does it retain stronger Known/OOS score ranking at matched coverage and post-hoc optimal thresholds?","If representation adaptation improves score ordering rather than only shifting the threshold, S2C should retain positive AUROC/AUPR and oracle-OOS-F1 deltas after replaying identical test samples and separating formal from post-hoc work points.",clinc150|banking77|stackoverflow,0.25|0.50|0.75,13|42|87|100|123,trainable_minilm_last2_projection|frozen_minilm,1|adaptive,mahalanobis_diag|euclidean,complete,90,90,0,2026-08-09,2026-08-09,500bf78e3c2347d8d96a6df1f2804b72a851e112acdc9ed4171b971f60f19d58,analysis_only,docs/archive/analysis/S2C_MOGB_OPERATING_CURVE_ATTRIBUTION_V1.md,"S2C won AUROC in 45/45 and default OOS F1 in 44/45 paired cells; mean deltas were +7.93pp AUROC, +12.00pp AUPR-OOS and +12.36pp default OOS F1. Even post-hoc oracle thresholds left +6.43pp OOS F1, and at matched 80% Known coverage S2C had 86.05% OOS F1 versus 74.94% for MOGB-Fair.","Treat the fair-component advantage as both ranking and work-point evidence; oracle/matched-coverage rows remain test-defined diagnostics and cannot select thresholds or support full-BERT-MOGB/SOTA claims.",do_not_repeat,s2c_vs_mogb_mechanism_dashboard_v1,"90 method cells, 72 paired-effect rows, 540 matched-coverage rows and 9090 dense curve rows; 6 figures; no training, split mutation or formal threshold selection."
s2c_vs_mogb_mechanism_dashboard_v1,ANALYSIS_S2C_VS_MOGB_MECHANISM_DASHBOARD_V1,protocol_v2_textoir_v1,paired_performance_error_budget_and_component_attribution,"Why does the current S2C Trainable K1 Gate outperform the same-split MOGB-MiniLM-Fair component, and which representation or boundary contracts explain the gap?","Strict dataset/KIR/seed pairing plus the MOGB-partition/S2C-boundary bridge should separate Known coverage, OOS precision-recall work point, representation adaptation and boundary effects without mixing paper BERT MOGB or the historical Cascade.",clinc150|banking77|stackoverflow,0.25|0.50|0.75,13|42|87|100|123,trainable_minilm_last2_projection|frozen_minilm,1|adaptive,mahalanobis_diag|euclidean,complete,198,198,0,2026-08-09,2026-08-09,1f3c73102a094a0b087fdbe95d02e68d06e0275c75bb77b4dc3a313d8f2dbf4e,analysis_only,docs/analysis/S2C_VS_MOGB_MECHANISM_DASHBOARD_V1.md,"Across 45 paired cells S2C won OOS F1 in 44 and F1-All in 45; versus MOGB-Fair it averaged +49.01pp Known Recall and +20.58pp OOS precision with -7.83pp OOS recall, while the shared-partition boundary bridge recovered only part of the F1-All gap.","Use this as the authoritative fair-component mechanism comparison; do not call it a historical Cascade comparison, full BERT MOGB reproduction, or unconditional SOTA.",do_not_repeat,trainable_vs_mogb_ablation_v1,"45 paired cells and 198 paired effect rows; fixed bootstrap RNG 20260725 with 10000 repetitions; six figures; no training, threshold selection, split mutation or artifact overwrite."
mogb_corrected_subcentroid_loss_v1,MOGB_LOSS_CONTRACT_AUDIT,mogb_official_corrected_loss_stackoverflow_v1,mogb_official_logic_adapted_loss_diagnostic,"Does the public MOGB L1-normalized nearest-subcentroid loss explain the local reproduction gap?","Replacing only the compressed official logits with raw Euclidean distances at a fixed temperature should recover Known coverage if the loss contract is a major cause, while all data, BERT, clustering, radius and inference contracts stay fixed.",stackoverflow,0.50,0,bert_base_uncased_official_logic,adaptive,euclidean,complete_not_reproduced,1,1,0,2026-08-09,2026-08-09,93166e6dd8e89f72a0482946334b3274fced18bf25891ae6e4b535e952a2a903,8f8393098626c997cdc5980358774d093327cce038ee5358540d4663de4f711d,docs/analysis/S2C_BASELINE_MOGB_COMPARISON_OVERVIEW_V1.md,"Raw-distance loss increased F1-All 68.35->72.64, F1-K 67.19->71.81 and Known Recall 51.53->59.20, but remained 14.85pp below the published F1-All reference; OOS Recall fell 98.80->95.30.","Treat the official L1 loss as one verified reproduction-gap contributor but not the whole cause; retain this run as an adapted diagnostic and next isolate Known-only radius calibration on the corrected checkpoint.",do_not_repeat,mogb_reproduction_gap_analysis_v2,"One pre-registered StackOverflow/KIR=.50/seed0 cell; temperature=1.0 fixed before test; no test selection; pinned upstream source unchanged; not an official MOGB result."
mogb_known_calibration_attribution_v1,ANALYSIS_MOGB_KNOWN_CALIBRATION_ATTRIBUTION_V1,protocol_v2_textoir_v1,mogb_boundary_and_loss_attribution,"Why does the local MOGB-compatible result miss the paper work point, and does Known-only radius calibration close the gap to the current S2C candidate?","If the gap is only a radius work-point mismatch, Known-only coverage calibration should recover the trade-off; if the upstream L1-normalized sub-centroid objective is compressed, actual distance tables should show near-uniform probabilities and weak gradients",clinc150|banking77|stackoverflow,0.25|0.50|0.75,13|42|87|100|123,frozen_minilm|trainable_minilm_last2_projection,dynamic,euclidean,complete,540,540,0,2026-08-09,2026-08-09,5e2d90bf4a793fcf19af240610f04245cab505ecdf63936853ca4fd20174656b,a6cfa505fe6b06dd8aa980c4a0ae83d18496817d839d3f5d60d14ed2423f049e,docs/archive/analysis/MOGB_KNOWN_CALIBRATION_ATTRIBUTION_V1.md,"45/45 MOGB-Fair replays were exact; cal-95 restored 61-68pp Known Recall but increased false acceptance 67-79pp and reduced OOS F1 33-38pp; official loss mean true probability/gradient were 0.0601/0.0502 versus 0.6389/3.8283 for raw tau=.10; S2C Trainable K1 beat pre-registered MOGB cal-80 on OOS F1 and F1-All in 45/45 pairs","Keep as same-protocol MOGB-Fair attribution; do not call it official BERT MOGB reproduction or unconditional SOTA",do_not_repeat,mogb_reproduction_gap_analysis_v2,"No encoder training; threshold multipliers use calibration_known only; test labels are used only for final evaluation; raw text/embeddings/checkpoints are not copied to lightweight outputs"
mogb_reproduction_gap_analysis_v2,ANALYSIS_MOGB_REPRODUCTION_GAP_V2,mogb_official_logic_contract_layered,mogb_reproduction_discrepancy,"Why do the local official-logic MOGB cells fall far below the published reference?","Loss trajectories, code-level probability bounds, final-ball statistics and error budgets should separate convergence, sub-centroid objective, boundary coverage and contract mismatch explanations.",stackoverflow|banking77,0.50|0.75,0|13|42|87|100|123,bert_official_logic_modern_compatibility,adaptive,euclidean,complete,231,231,0,2026-08-09,2026-08-09,e9f14feacc61cf0eacf56da75ecf54c69d3f9ff25962986012f35bce1c44ebf5,analysis_only,docs/archive/analysis/MOGB_REPRODUCTION_GAP_ANALYSIS_V2.md,"Both exact cells show converged CE and about 92 percent Known dev accuracy; public-code sub-centroid logits are compressed by L1 distance normalization; final mean-radius boundaries retain only 51.53 and 43.71 percent Known recall while OOS recall is about 98 percent.","Keep as discrepancy evidence; do not call local low scores proof that MOGB is invalid and do not mix published, exact, five-epoch compatibility, MiniLM-fair or S2C contracts.",do_not_repeat,historical_sota_comparison_v1,"Analysis-only; 2 exact cells, 92 epoch rows, 127 ball rows and 10 non-strict short runs; no training, threshold selection, checkpoint mutation or test re-scoring."
