dataset,file,license,notes,revision,sha256,source,status,url
clinc150,official_snapshot/clinc150/LICENSE,CC BY 3.0,官方仓库 LICENSE 明确写明 Attribution 3.0 Unported。,828f8093932c8fe6ca7936c3d2e52903b1c523de,e6bc9e9c474700b708f568bac9e5a8a9bcb2b1dad53442f5ba449fcb848b8e76,official_clinc,verified,https://github.com/clinc/oos-eval
clinc150,textoir/LICENSE,MIT (repository code; data-specific license not stated),TEXTOIR 仓库代码有 MIT 但 data/ 未提供独立数据许可证。,dffe2b1b848a069a6808f8089b4cb9bd16e2062b,90db8bede52ac5c490ef66cc97740a2022bf0c3c0fb4987a41afe9d1cbbb0ad2,textoir_repository,partial,https://github.com/thuiar/TEXTOIR.git
clinc150,assets/datasets/s2c/source/clinc150/data/data_full.json,inherits official CC BY 3.0,s2c raw 文件与固定官方 data_full.json 完全一致；不代表历史 prepared split 已通过审计。,,36923c3705a59e08fe9c3883d8bc2dd966ef93e22cb78ac41171782a698d56e0,s2c_clinc_raw,verified_inherited,
banking77,official_snapshot/task-specific-datasets/LICENSE,CC BY 4.0,PolyAI 官方仓库 LICENSE 为 Creative Commons Attribution 4.0。,57ec275d8078af65b7731c2a98be812d844a6d6b,7e7170e3cebf88a9f60c7b8421418323c09304da1af4d5e90f4da1dc1c8a2661,official_banking,verified,https://github.com/PolyAI-LDN/task-specific-datasets
banking77,textoir/data/banking/,MIT (repository code; data-specific license not stated),内容与官方 Banking77 一致但 TEXTOIR 未提供独立 data/ 许可证。,dffe2b1b848a069a6808f8089b4cb9bd16e2062b,,textoir_banking_data,partial,https://github.com/thuiar/TEXTOIR.git
banking77,assets/datasets/s2c/source/banking77/,inherits official CC BY 4.0,s2c standard 文件与官方 train/test 内容一致；valid 是本地派生切分。,,,s2c_banking_standard,verified_inherited,
banking77_oos,assets/datasets/s2c/source/banking77_oos/,unknown,id-oos/ood-oos 没有可核验的上游 commit、许可证或生成说明。,,,s2c_banking_oos_raw,blocked,
banking77_oos,textoir/data/banking/,standard Banking77 only; OOS extension absent,TEXTOIR 提供标准 Banking77 不提供当前 s2c id-oos/ood-oos 扩展。,dffe2b1b848a069a6808f8089b4cb9bd16e2062b,,textoir_banking_data,not_applicable,https://github.com/thuiar/TEXTOIR.git
stackoverflow,official_snapshot/stackoverflow_raw/title_StackOverflow.txt ; official_snapshot/stackoverflow_raw/label_StackOverflow.txt,not stated,README SHA256=3d51882c2a3ec462309fb04afa0f3039858881303ffa577d3cf300e1e8d72b4d；仅要求致谢 Kaggle 未标识具体数据集或 data dump；LICENSE endpoint HTTP 404；语料没有 post ID/date 因此不能将通用 CC BY-SA 政策映射到每条记录。,7c207f51e649fff9e4736610b9d44431bb7ccf00,56fdb3932c6a2e35c1943b8a3d3c1cf51901fc1139e51b1587091898ffb22e86;ac6b52afbf696611680f8ea944be682bcdf1979b62fde2b5fa2a9dcc6ab8d7d3,official_stackoverflow,blocked,https://github.com/jacoxu/StackOverflow
stackoverflow,textoir/data/stackoverflow/,unknown,TEXTOIR 数据文件随仓库提供但没有独立数据许可证。,dffe2b1b848a069a6808f8089b4cb9bd16e2062b,,textoir_repository,blocked,https://github.com/thuiar/TEXTOIR.git
stackoverflow,assets/datasets/s2c/source/stackoverflow/records.jsonl,not stated,s2c raw 内容可与公开原始文件匹配但许可证不明确，因此不能进入 canonical protocol。,,,s2c_stackoverflow_raw,blocked,https://github.com/jacoxu/StackOverflow
